judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,bookmia100unseen.50.000,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.001,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.002,1.0,0.5,1.0,0.5,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.003,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.004,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.005,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.006,0.5,1.0,0.5,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.007,1.0,1.0,1.0,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.008,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.009,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.010,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.011,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.012,0.5,0.0,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.013,0.5,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.014,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.015,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.50.016,1.0,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.017,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.50.018,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.000,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.001,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.002,0.5,0.5,0.5,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.003,0.5,0.5,0.5,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.004,0.0,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.005,0.5,0.5,1.0,1.0,1.0,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.006,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.007,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.008,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.009,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.010,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.011,0.5,1.0,0.5,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.012,1.0,1.0,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.013,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.014,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.015,0.0,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.016,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.53.017,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.53.018,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.000,1.0,1.0,1.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.001,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.002,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.003,0.5,0.5,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.004,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.005,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.006,0.5,0.5,0.5,0.5,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.007,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.008,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.009,0.5,0.5,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.010,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.011,0.5,0.5,0.5,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.012,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.013,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.014,0.5,1.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,bookmia100unseen.54.015,0.0,0.0,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.016,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.54.017,0.5,0.5,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,bookmia100unseen.54.018,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,bookmia100unseen.55.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.002,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.003,1.0,1.0,1.0,1.0,0.5,0.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.004,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.005,0.0,1.0,0.0,0.0,0.5,0.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.006,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.007,0.5,0.5,0.5,0.5,0.5,0.0,0.0
Phi-3.5-mini-instruct,bookmia100unseen.55.008,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.009,0.0,1.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.010,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.011,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,bookmia100unseen.55.013,0.5,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.014,1.0,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,bookmia100unseen.55.015,0.5,0.5,0.5,0.5,0.0,1.0,1.0
