judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64,u_n128,u_n256,u_n512
Phi-3.5-mini-instruct,1nzes2,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5
Phi-3.5-mini-instruct,2786lw,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,2ov45h,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,49u4dh,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,4iorz7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,4xzr87,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0
Phi-3.5-mini-instruct,53rqr9,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,5apkek,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,5e6rcz,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,5ec7q2,0.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0
Phi-3.5-mini-instruct,5f5p86,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,5fqwjc,0.5,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,5g58dz,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,5gq4jc,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,5j7ypk,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,5je6l4,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,5nc21f,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,5nzsq6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,5ozqb9,0.0,0.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,5qf97d,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,5qwzjo,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,5r104c,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,5te65i,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,5umucz,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0
Phi-3.5-mini-instruct,5w4x14,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,609k0n,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0
Phi-3.5-mini-instruct,625es0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
