run,novel,setting,constraint,prefix_debt,k,mode,L,n_passages,nv_recall_mean,nv_recall_ge_0p8_pct,lcs_word_mean,spend_total_mean,max_query_Z_over_K,R_total_mean,invariant_violations,steps_forced_pct,steps_free_pct,steps_active_pct,R_over_K_max,queries
1984_A,1984,A_temp1,kl,1,-1.0,single,0,8,0.4137,37.5,51.62,0.0,0.0,351.82,0,0.0,100.0,0.0,,8
1984_A,1984,A_temp1,kl,1,0.0,single,0,8,0.0,0.0,1.75,0.0,0.0,0.0,0,100.0,0.0,0.0,,8
1984_A,1984,A_temp1,kl,1,1.0,single,0,8,0.0,0.0,1.88,117.89,0.9583,119.34,0,4.77,86.34,8.89,0.9881,8
1984_A,1984,A_temp1,kl,1,1.5,single,0,8,0.0,0.0,2.12,148.79,0.8911,155.69,0,3.06,89.84,7.1,0.8893,8
1984_A,1984,A_temp1,kl,1,3.0,single,0,8,0.1147,12.5,13.62,294.44,0.9216,287.32,0,1.17,98.32,0.51,0.9098,8
1984_A,1984,A_temp1,kl,1,5.0,single,0,8,0.1147,12.5,14.5,278.07,0.5536,277.92,0,0.57,98.85,0.57,0.5463,8
1984_A,1984,A_temp1,kl,1,10.0,single,0,8,0.2383,25.0,27.38,324.32,0.2768,323.72,0,0.08,99.69,0.23,0.2731,8
1984_A,1984,A_temp1,kl,1,20.0,single,0,8,0.4137,37.5,51.62,349.12,0.155,351.82,0,0.0,100.0,0.0,0.1571,8
1984_B,1984,B_authors,kl,1,-1.0,single,0,8,0.316,25.0,45.12,0.0,0.0,445.02,0,0.0,100.0,0.0,,8
1984_B,1984,B_authors,kl,1,0.0,single,0,8,0.0,0.0,2.0,0.0,0.0,0.0,0,100.0,0.0,0.0,,8
1984_B,1984,B_authors,kl,1,1.0,single,0,8,0.0,0.0,1.62,101.64,0.9557,102.55,0,6.45,59.4,34.15,0.9648,8
1984_B,1984,B_authors,kl,1,1.5,single,0,8,0.0,0.0,2.5,174.6,0.8962,174.84,0,3.43,82.49,14.08,0.794,8
1984_B,1984,B_authors,kl,1,3.0,single,0,8,0.0677,0.0,12.0,436.27,0.9756,446.0,0,1.17,92.28,6.55,1.0302,8
1984_B,1984,B_authors,kl,1,5.0,single,0,8,0.112,12.5,18.25,437.41,0.6087,432.83,0,0.49,98.75,0.77,0.6154,8
1984_B,1984,B_authors,kl,1,10.0,single,0,8,0.1407,12.5,21.5,455.96,0.3097,461.43,0,0.07,99.73,0.21,0.324,8
