arm,prompt_id,first,second,text_sha
sel_n64,1nzes2,B,A,f8d8b640ffb8
sel_n64,2786lw,A,B,3a4e3dcc9581
sel_n64,2ov45h,A,A,0aa0a70f7a09
sel_n64,49u4dh,B,A,2ed6feebcbf2
sel_n64,4iorz7,A,B,dd9d233642a6
sel_n64,4xzr87,A,A,6e79fec70e83
sel_n64,53rqr9,A,B,08020703481e
sel_n64,5apkek,A,B,fb5358e2c1b6
sel_n64,5e6rcz,A,A,74d59c08d962
sel_n64,5ec7q2,A,B,de79e662559b
sel_n64,5f5p86,A,A,473ae42529eb
sel_n64,5fqwjc,B,Tie,89b44a8ebe6f
sel_n64,5g58dz,A,A,9598caeb27fb
sel_n64,5gq4jc,A,B,0cc1c61547df
sel_n64,5j7ypk,A,B,89099c1f5b76
sel_n64,5je6l4,A,A,8cac1c113dc8
sel_n64,5nc21f,A,B,45b33b8b3547
sel_n64,5nzsq6,B,A,6776ffdca82b
sel_n64,5ozqb9,B,A,41e0f251ebea
sel_n64,5qf97d,A,B,113a2ff34245
sel_n64,5qwzjo,B,B,bb39c6b581fa
sel_n64,5r104c,A,B,5466b229201c
sel_n64,5te65i,B,A,e426c90ed56e
sel_n64,5umucz,B,A,0d9cb7157999
sel_n64,5w4x14,B,A,1bcbd463ed46
sel_n64,609k0n,A,B,836644dbf6f6
sel_n64,625es0,A,B,96928b7aa386
sel_n64,63dn97,B,A,4eb4471e8b60
sel_n64,63ku7q,B,A,8603089660f4
sel_n64,64c0w6,A,B,20ae3a2024e0
sel_n64,65458n,B,A,01ea7104804a
sel_n64,66uo64,A,B,991c1939281c
sel_n64,68f5c5,A,A,da39a3ee5e6b
sel_n64,68ykga,A,A,c5eac493f686
sel_n64,69dzba,B,A,444356f21fec
sel_n64,6d1iqq,B,A,cf33f48ccca4
sel_n64,6eytds,A,B,23648f14f8d2
sel_n64,6gl289,B,B,6bffe0b726d4
sel_n64,6hoxmq,A,B,870f7d210968
sel_n64,6imc4i,A,B,361f2a84c2ba
sel_n64,6isay3,B,A,811809bf254f
sel_n64,6ixx9u,A,B,da39a3ee5e6b
sel_n64,6k8gdu,A,A,9440a14bd29c
sel_n64,6l6v6l,A,B,ddb1fdcc8c2c
sel_n64,6m7z8a,A,B,c59b11db2b3a
sel_n64,6mztko,B,A,92156113867c
sel_n64,6o18uh,A,B,837c024c4ad0
sel_n64,6o679d,A,A,5116e74e4314
sel_n64,6ohgxv,B,A,da39a3ee5e6b
sel_n64,6szrbs,B,B,6450c6fc6bd5
sel_n64,6tsiyd,A,A,c8f0d77b4424
sel_n64,6wgtsx,A,B,735a97bd6997
sel_n64,6wxzhc,A,A,da39a3ee5e6b
sel_n64,6xisxt,B,A,bfe9faf58eb7
sel_n64,6xngfe,A,B,be3e34f80541
sel_n64,6xsruw,A,B,19c1dbf884dd
sel_n64,71p51h,A,B,da39a3ee5e6b
sel_n64,72l2aj,A,B,4d90749e0891
sel_n64,74ih3z,B,A,0d89038912d2
sel_n64,765fhd,B,A,6a4e78082785
sel_n64,76b9gc,B,A,81e5465a2dd4
sel_n64,77dd17,A,B,db9e01a60763
sel_n64,796161,A,A,7bb0763094f1
sel_n64,7adktz,B,Tie,8c4b5edbe318
sel_n64,7bowjq,A,B,623b41a75e28
sel_n64,7d0x9k,B,A,05a234888d4d
sel_n64,7dcwik,A,B,d37aa4e11b9c
sel_n64,7e3im5,A,A,44dc38487ac6
sel_n64,7en7vl,A,B,85d601c4684b
sel_n64,7ezd5t,A,A,94321adfd0ae
sel_n64,7gjj2w,A,A,9eaf77f994bd
sel_n64,7h9f8e,A,A,61fa0355b84a
sel_n64,7iltd1,A,B,837d572a5528
sel_n64,7iubwq,B,A,5bcde8aec45e
sel_n64,7jfvx7,B,B,1da30a33e832
sel_n64,7jqj29,A,B,da39a3ee5e6b
sel_n64,7l7e1m,A,A,66fd781ecd86
sel_n64,7ld0jk,A,A,ea03bead1191
sel_n64,7lzk5g,A,B,ac67e0586d08
sel_n64,7q0acw,A,B,686e6ef2d9d3
sel_n64,7rb6uj,A,A,b8c41350387f
sel_n64,7rie85,B,B,7b41951aebe0
sel_n64,7rpy8m,A,B,841381d35919
sel_n64,7svmp5,A,B,2b121784608a
sel_n64,7tge90,B,A,feda3625c6c5
sel_n64,7u04a5,B,A,98015426f06c
sel_n64,7uezw8,A,B,cc496ebf65ac
sel_n64,7v8ind,A,A,5ade0cc19802
