arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.0499,0.0412,0.0597,0.0,0.0,0.0,-0.991
majority vote (self-consistency),2,0.6931,500,0.0499,0.0412,0.0591,0.0,0.0,0.0,-0.991
majority vote (self-consistency),4,1.3863,500,0.0437,0.0355,0.0528,-0.0062,-0.01,-0.0028,-0.991
majority vote (self-consistency),8,2.0794,500,0.0387,0.0307,0.0471,-0.0112,-0.0159,-0.0069,-0.991
majority vote (self-consistency),16,2.7726,500,0.0321,0.0246,0.0405,-0.0178,-0.0237,-0.0123,-0.991
majority vote (self-consistency),32,3.4657,500,0.0239,0.0177,0.0309,-0.026,-0.0332,-0.0194,-0.991
majority vote (self-consistency),64,4.1589,500,0.0205,0.0144,0.0276,-0.0294,-0.0367,-0.0222,-0.991
pointwise reward (Qwen2.5-7B),1,0.0,500,0.0499,0.0412,0.0597,0.0,0.0,0.0,-0.2857
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.0479,0.0392,0.0568,-0.002,-0.0097,0.0056,-0.2857
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.058,0.0479,0.0686,0.0081,-0.0022,0.0187,-0.2857
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.0588,0.049,0.0691,0.0089,-0.0021,0.0201,-0.2857
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.0541,0.0447,0.0642,0.0042,-0.0066,0.0149,-0.2857
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.0489,0.04,0.0584,-0.001,-0.012,0.0099,-0.2857
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.0465,0.0381,0.0555,-0.0034,-0.0149,0.0083,-0.2857
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
