arm,prompt_id,first,second,text_sha
sel_n64,1nzes2,B,A,f8d8b640ffb8
sel_n64,2786lw,B,A,3a4e3dcc9581
sel_n64,2ov45h,B,A,0aa0a70f7a09
sel_n64,49u4dh,B,A,2ed6feebcbf2
sel_n64,4iorz7,A,A,dd9d233642a6
sel_n64,4xzr87,B,A,6e79fec70e83
sel_n64,53rqr9,B,A,08020703481e
sel_n64,5apkek,B,A,fb5358e2c1b6
sel_n64,5e6rcz,A,A,74d59c08d962
sel_n64,5ec7q2,B,A,de79e662559b
sel_n64,5f5p86,B,A,473ae42529eb
sel_n64,5fqwjc,B,A,89b44a8ebe6f
sel_n64,5g58dz,B,A,9598caeb27fb
sel_n64,5gq4jc,B,B,0cc1c61547df
sel_n64,5j7ypk,A,A,89099c1f5b76
sel_n64,5je6l4,B,A,8cac1c113dc8
sel_n64,5nc21f,A,B,45b33b8b3547
sel_n64,5nzsq6,B,A,6776ffdca82b
sel_n64,5ozqb9,A,B,41e0f251ebea
sel_n64,5qf97d,B,A,113a2ff34245
sel_n64,5qwzjo,B,B,bb39c6b581fa
sel_n64,5r104c,B,A,5466b229201c
sel_n64,5te65i,A,B,e426c90ed56e
sel_n64,5umucz,B,A,0d9cb7157999
sel_n64,5w4x14,B,A,1bcbd463ed46
sel_n64,609k0n,B,A,836644dbf6f6
sel_n64,625es0,B,A,96928b7aa386
sel_n64,63dn97,B,A,4eb4471e8b60
sel_n64,63ku7q,B,A,8603089660f4
sel_n64,64c0w6,B,A,20ae3a2024e0
sel_n64,65458n,B,A,01ea7104804a
sel_n64,66uo64,B,A,991c1939281c
sel_n64,68f5c5,B,A,da39a3ee5e6b
sel_n64,68ykga,B,A,c5eac493f686
sel_n64,69dzba,B,A,444356f21fec
sel_n64,6d1iqq,B,A,cf33f48ccca4
sel_n64,6eytds,A,B,23648f14f8d2
sel_n64,6gl289,B,A,6bffe0b726d4
sel_n64,6hoxmq,B,A,870f7d210968
sel_n64,6imc4i,B,B,361f2a84c2ba
sel_n64,6isay3,B,A,811809bf254f
sel_n64,6ixx9u,Tie,Tie,da39a3ee5e6b
sel_n64,6k8gdu,B,B,9440a14bd29c
sel_n64,6l6v6l,B,A,ddb1fdcc8c2c
sel_n64,6m7z8a,B,A,c59b11db2b3a
sel_n64,6mztko,B,A,92156113867c
sel_n64,6o18uh,B,A,837c024c4ad0
sel_n64,6o679d,A,A,5116e74e4314
sel_n64,6ohgxv,B,A,da39a3ee5e6b
sel_n64,6szrbs,B,A,6450c6fc6bd5
sel_n64,6tsiyd,B,A,c8f0d77b4424
sel_n64,6wgtsx,B,A,735a97bd6997
sel_n64,6wxzhc,B,A,da39a3ee5e6b
