mechanism,n,scorer,seq_tokens,cost_bparam_tokens,ratio_vs_metered,note
"metered decoder, k=10",,--,217,2124.2,1.0,anchor and risky model at prefill and at every decode step
selection anchoring,1,Qwen2.5-7B,217,2034.2,0.96,n anchor generations + n scoring prefills
selection anchoring,2,Qwen2.5-7B,217,4068.4,1.92,n anchor generations + n scoring prefills
selection anchoring,4,Qwen2.5-7B,217,8136.8,3.83,n anchor generations + n scoring prefills
selection anchoring,8,Qwen2.5-7B,217,16273.6,7.66,n anchor generations + n scoring prefills
selection anchoring,16,Qwen2.5-7B,217,32547.2,15.32,n anchor generations + n scoring prefills
selection anchoring,32,Qwen2.5-7B,217,65094.4,30.64,n anchor generations + n scoring prefills
selection anchoring,64,Qwen2.5-7B,217,130188.9,61.29,n anchor generations + n scoring prefills
selection anchoring (small scorer),1,Qwen2.5-0.5B,217,488.8,0.23,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),2,Qwen2.5-0.5B,217,977.6,0.46,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),4,Qwen2.5-0.5B,217,1955.3,0.92,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),8,Qwen2.5-0.5B,217,3910.5,1.84,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),16,Qwen2.5-0.5B,217,7821.0,3.68,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),32,Qwen2.5-0.5B,217,15642.1,7.36,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
selection anchoring (small scorer),64,Qwen2.5-0.5B,217,31284.1,14.73,"feat-116 RAN and refuted the route: see compute_matched.csv, this cost buys no gain the metered decoder does not already have"
