k,K,split,prompt_id,seed,constraint,T,Z,L,M,V,b,B,L_over_K
0.5,100.0,attack_train,bookmia.07.43,3320184832,kl,200,94.028,70.644,-23.384,199.513,13.83,94.028,0.7064
0.5,100.0,attack_train,bookmia.01.90,3320184832,kl,200,95.338,72.204,-23.133,229.331,13.875,95.338,0.722
0.5,100.0,attack_train,bookmia.07.06,3320184832,kl,200,95.72,93.805,-1.915,221.863,15.43,95.931,0.938
0.5,100.0,attack_train,bookmia.00.31,3320184832,kl,200,93.784,80.769,-13.015,206.074,19.01,94.847,0.8077
0.5,100.0,attack_train,bookmia.07.55,3320184832,kl,200,94.162,87.211,-6.952,209.205,14.87,94.162,0.8721
0.5,100.0,attack_train,bookmia.07.16,3320184832,kl,200,89.977,97.252,7.275,187.422,12.303,95.324,0.9725
0.5,100.0,attack_train,bookmia.07.63,3320184832,kl,200,95.694,68.335,-27.359,239.47,14.681,95.694,0.6834
0.5,100.0,attack_train,bookmia.00.26,3320184832,kl,200,0.0,0.0,-0.0,0.0,0.0,95.803,0.0
0.5,100.0,attack_train,bookmia.07.28,3320184832,kl,200,93.527,85.775,-7.752,220.673,18.214,94.075,0.8577
0.5,100.0,attack_train,bookmia.07.30,3320184832,kl,200,94.378,94.409,0.032,213.046,14.082,94.727,0.9441
0.5,100.0,attack_train,bookmia.07.49,3320184832,kl,200,93.116,103.663,10.548,179.597,13.458,93.838,1.0366
0.5,100.0,attack_train,bookmia.07.56,3320184832,kl,200,95.603,107.285,11.683,188.63,16.25,95.8,1.0729
0.5,100.0,attack_train,bookmia.07.24,3320184832,kl,200,95.357,114.755,19.398,219.055,14.623,96.028,1.1476
0.5,100.0,attack_train,bookmia.01.04,3320184832,kl,200,92.476,88.362,-4.114,238.035,18.953,92.797,0.8836
0.5,100.0,attack_train,bookmia.01.39,3320184832,kl,200,0.0,-0.0,-0.0,0.0,0.0,91.659,-0.0
0.5,100.0,attack_train,bookmia.07.02,3320184832,kl,200,95.45,100.093,4.643,220.221,14.782,95.45,1.0009
0.5,100.0,attack_train,bookmia.07.73,3320184832,kl,200,10.641,10.585,-0.055,22.35,13.027,94.141,0.1059
0.5,100.0,attack_train,bookmia.00.11,3320184832,kl,200,81.953,92.015,10.062,182.992,16.512,90.619,0.9202
0.5,100.0,attack_train,bookmia.01.27,3320184832,kl,200,94.251,80.148,-14.102,251.863,18.027,94.309,0.8015
0.5,100.0,attack_train,bookmia.01.58,3320184832,kl,200,92.881,87.851,-5.031,222.672,17.778,92.881,0.8785
0.5,100.0,attack_train,bookmia.01.73,3320184832,kl,200,93.289,86.022,-7.267,242.514,14.89,93.289,0.8602
0.5,100.0,attack_train,bookmia.01.74,3320184832,kl,200,91.892,96.713,4.821,224.177,16.347,92.544,0.9671
0.5,100.0,attack_train,bookmia.01.82,3320184832,kl,200,93.316,79.313,-14.002,240.561,20.814,93.316,0.7931
0.5,100.0,attack_train,bookmia.07.40,3320184832,kl,200,0.0,0.0,0.0,0.0,0.0,94.609,0.0
0.5,100.0,attack_train,bookmia.07.70,3320184832,kl,200,95.778,89.898,-5.88,216.865,17.245,95.778,0.899
