arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,0.7388
majority vote (self-consistency),2,0.6931,500,0.3496,0.3154,0.3852,0.0,0.0,0.0,0.7388
majority vote (self-consistency),4,1.3863,500,0.3622,0.3268,0.3976,0.0126,-0.0116,0.0364,0.7388
majority vote (self-consistency),8,2.0794,500,0.3859,0.3496,0.424,0.0363,0.0067,0.0663,0.7388
majority vote (self-consistency),16,2.7726,500,0.3653,0.3292,0.4027,0.0157,-0.0162,0.0471,0.7388
majority vote (self-consistency),32,3.4657,500,0.3777,0.3419,0.4144,0.0281,-0.0051,0.0618,0.7388
majority vote (self-consistency),64,4.1589,500,0.3726,0.3348,0.4095,0.023,-0.011,0.0568,0.7388
pointwise reward (Qwen2.5-7B),1,0.0,500,0.3496,0.3148,0.3847,0.0,0.0,0.0,-0.9643
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.3345,0.2995,0.37,-0.0151,-0.0447,0.0143,-0.9643
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.3081,0.2728,0.3433,-0.0415,-0.0773,-0.0069,-0.9643
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.2592,0.2266,0.2932,-0.0903,-0.1311,-0.0497,-0.9643
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.249,0.2166,0.2819,-0.1006,-0.1441,-0.057,-0.9643
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.2233,0.1921,0.255,-0.1263,-0.1688,-0.0841,-0.9643
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.2372,0.2055,0.2693,-0.1124,-0.1543,-0.0711,-0.9643
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
