quantity,arm,value,lo95,hi95,n,reading,consistency,n_empty,level_empty
level,sel_n64,0.545,0.507,0.585,500,,0.784,41,0.6341
level,sel_n1,0.369,0.332,0.4065,500,,0.796,64,0.6172
level,sel_g64,0.585,0.5455,0.6245,500,,0.832,71,0.6655
level,anchor_k0,0.3685,0.331,0.4065,500,,0.81,62,0.6452
level,metered_k10,0.49,0.451,0.53,500,,0.846,0,
level,opp_r1,0.517,0.478,0.5565,500,,0.806,0,
level,blk10n64,0.675,0.639,0.7095,500,,0.764,110,0.7
level,blk25n64,0.6555,0.619,0.6905,500,,0.812,104,0.7067
level,blk200n1,0.37,0.3325,0.408,500,,0.828,76,0.7336
level,win_0,0.371,0.334,0.408,500,,0.784,66,0.7083
level,win_4.16,0.324,0.288,0.3605,500,,0.83,1,1.0
level,frontpw_4.16,0.3445,0.307,0.3825,500,,0.814,1,1.0
level,pw_83.18,0.3835,0.3465,0.422,500,,0.824,50,0.75
level,pw_33.27,0.3525,0.315,0.39,500,,0.8,59,0.7331
level,cpk_4.16,0.3685,0.331,0.406,500,,0.81,62,0.6452
level,cpk_33.27,0.3685,0.331,0.406,500,,0.81,62,0.6452
level,cpk_83.18,0.4195,0.38,0.4585,500,,0.796,37,0.6216
level,cpk_159.83,0.502,0.4615,0.5415,500,,0.806,0,
gain,sel_n64 - sel_n1,0.176,0.139,0.212,500,CONFIRMED,,,
gain,sel_g64 - sel_n1,0.216,0.18,0.253,500,CONFIRMED,,,
gain,metered_k10 - anchor_k0,0.1215,0.0785,0.1655,500,CONFIRMED,,,
gain,opp_r1 - anchor_k0,0.1485,0.1055,0.1935,500,CONFIRMED,,,
gain,blk10n64 - blk200n1,0.305,0.268,0.3415,500,CONFIRMED,,,
gain,blk25n64 - blk200n1,0.2855,0.247,0.3235,500,CONFIRMED,,,
gain,win_4.16 - win_0,-0.047,-0.0795,-0.015,500,REFUTED,,,
gain,frontpw_4.16 - win_0,-0.0265,-0.059,0.0055,500,UNRESOLVED,,,
gain,pw_83.18 - win_0,0.0125,-0.019,0.044,500,UNRESOLVED,,,
gain,pw_33.27 - win_0,-0.0185,-0.044,0.0065,500,UNRESOLVED,,,
gain,cpk_4.16 - anchor_k0,0.0,0.0,0.0,500,UNRESOLVED,,,
gain,cpk_33.27 - anchor_k0,0.0,0.0,0.0,500,UNRESOLVED,,,
gain,cpk_83.18 - anchor_k0,0.051,0.028,0.0745,500,CONFIRMED,,,
gain,cpk_159.83 - anchor_k0,0.1335,0.092,0.174,500,CONFIRMED,,,
difference,sel_n64 - sel_g64,-0.04,-0.067,-0.0135,500,REFUTED,,,
"difference, consistent pair",sel_n64 - sel_g64,-0.0225,-0.0507,0.0028,355,UNRESOLVED,,,
"difference, consistent four",sel_n64 - sel_g64,-0.0304,-0.0608,-0.0034,296,REFUTED,,,
difference,sel_n64 - metered_k10,0.0545,0.003,0.108,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - metered_k10,0.0276,-0.0381,0.0925,335,UNRESOLVED,,,
"difference, consistent four",sel_n64 - metered_k10,-0.0162,-0.085,0.0547,247,UNRESOLVED,,,
difference,sel_g64 - metered_k10,0.0945,0.039,0.148,500,CONFIRMED,,,
"difference, consistent pair",sel_g64 - metered_k10,0.0908,0.0258,0.1557,358,CONFIRMED,,,
"difference, consistent four",sel_g64 - metered_k10,0.0441,-0.0268,0.1188,261,UNRESOLVED,,,
difference,blk10n64 - cpk_83.18,0.254,0.2125,0.2965,500,CONFIRMED,,,
"difference, consistent pair",blk10n64 - cpk_83.18,0.2402,0.1832,0.2964,307,CONFIRMED,,,
"difference, consistent four",blk10n64 - cpk_83.18,0.2309,0.1667,0.2972,249,CONFIRMED,,,
difference,blk25n64 - cpk_33.27,0.2855,0.2475,0.323,500,CONFIRMED,,,
"difference, consistent pair",blk25n64 - cpk_33.27,0.2462,0.1986,0.2945,326,CONFIRMED,,,
"difference, consistent four",blk25n64 - cpk_33.27,0.2286,0.1786,0.2821,280,CONFIRMED,,,
difference,sel_n64 - cpk_4.16,0.176,0.1395,0.2125,500,CONFIRMED,,,
"difference, consistent pair",sel_n64 - cpk_4.16,0.1611,0.1201,0.2044,329,CONFIRMED,,,
"difference, consistent four",sel_n64 - cpk_4.16,0.125,0.0821,0.1714,280,CONFIRMED,,,
difference,sel_g64 - win_4.16,0.263,0.215,0.312,500,CONFIRMED,,,
"difference, consistent pair",sel_g64 - win_4.16,0.24,0.1834,0.2987,349,CONFIRMED,,,
"difference, consistent four",sel_g64 - win_4.16,0.2374,0.1751,0.2996,257,CONFIRMED,,,
difference,sel_g64 - frontpw_4.16,0.2425,0.1955,0.2915,500,CONFIRMED,,,
"difference, consistent pair",sel_g64 - frontpw_4.16,0.213,0.1558,0.2732,345,CONFIRMED,,,
"difference, consistent four",sel_g64 - frontpw_4.16,0.2107,0.1494,0.272,261,CONFIRMED,,,
difference,cpk_83.18 - pw_83.18,0.0385,-0.001,0.0775,500,UNRESOLVED,,,
