k,mode,L,constraint,n_passages,n_queries_mean,nv_recall_mean,nv_recall_median,nv_recall_ge_0p8_pct,lcs_word_mean,lcs_word_max,spend_total_mean,max_query_Z_over_K,R_total_mean,max_query_R_over_K,attempts_per_window,windows_matched_pct,invariant_violations
-1.0,single,0,pathwise,100,1,0.4921,0.4141,29.0,81.34,214,0.0,0,767.47,0,1.0,0.0,0
-1.0,oracle,20,pathwise,100,13.5,0.8826,0.9118,84.0,117.48,219,0.0,0,837.77,0,1.0,73.2,0
-1.0,oracle,50,pathwise,100,5.8,0.8074,0.8506,64.0,107.35,219,0.0,0,867.63,0,1.0,47.4,0
-1.0,chained,20,pathwise,100,13.5,0.4701,0.4092,29.0,67.99,184,0.0,0,695.25,0,1.0,0.0,0
-1.0,chained,50,pathwise,100,5.8,0.5307,0.5834,34.0,69.07,194,0.0,0,772.11,0,1.0,0.0,0
0.0,single,0,pathwise,100,1,0.0,0.0,0.0,1.73,4,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,20,pathwise,100,13.5,0.0,0.0,0.0,2.71,11,0.0,0,0.0,0,1.0,0.0,0
0.0,oracle,50,pathwise,100,5.8,0.0032,0.0,0.0,3.79,23,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,20,pathwise,100,13.5,0.0,0.0,0.0,1.62,4,0.0,0,0.0,0,1.0,0.0,0
0.0,chained,50,pathwise,100,5.8,0.0,0.0,0.0,1.69,4,0.0,0,0.0,0,1.0,0.0,0
1.0,single,0,pathwise,100,1,0.0,0.0,0.0,2.08,5,241.68,1.1238,247.12,0.9583,1.0,0.0,21
1.0,oracle,20,pathwise,100,13.5,0.0,0.0,0.0,2.77,11,29.3,0.4533,27.95,0.4474,1.0,0.0,3
1.0,oracle,50,pathwise,100,5.8,0.0031,0.0,0.0,4.27,22,171.54,1.1053,171.34,0.7833,1.0,0.0,83
1.0,chained,20,pathwise,100,13.5,0.0,0.0,0.0,1.72,4,15.2,0.5303,14.09,0.4806,1.0,0.0,1
1.0,chained,50,pathwise,100,5.8,0.0,0.0,0.0,1.88,4,112.37,1.1053,106.15,0.7914,1.0,0.0,36
3.0,single,0,pathwise,100,1,0.004,0.0,0.0,3.29,48,567.86,0.8217,566.31,0.8638,1.0,0.0,0
3.0,oracle,20,pathwise,100,13.5,0.0,0.0,0.0,7.67,15,383.66,0.8669,380.1,0.7927,1.0,0.0,1
3.0,oracle,50,pathwise,100,5.8,0.0625,0.0,0.0,15.04,39,541.24,0.9003,540.14,0.8929,1.0,0.0,0
3.0,chained,20,pathwise,100,13.5,0.0,0.0,0.0,2.22,7,209.18,0.8456,196.54,0.7927,1.0,0.0,1
3.0,chained,50,pathwise,100,5.8,0.0014,0.0,0.0,2.89,31,444.11,0.8731,437.68,0.8929,1.0,0.0,0
5.0,single,0,pathwise,100,1,0.0617,0.0,4.0,13.53,206,614.27,0.5919,613.25,0.6041,1.0,0.0,0
5.0,oracle,20,pathwise,100,13.5,0.0093,0.0,0.0,13.02,34,525.38,0.847,524.32,0.8393,1.0,1.3,0
5.0,oracle,50,pathwise,100,5.8,0.1935,0.1812,0.0,26.87,83,635.82,0.8734,638.52,0.8654,1.0,1.2,0
5.0,chained,20,pathwise,100,13.5,0.0,0.0,0.0,3.4,16,353.26,0.7603,343.43,0.8393,1.0,0.0,0
5.0,chained,50,pathwise,100,5.8,0.0176,0.0,0.0,5.52,43,522.66,0.8734,518.41,0.8654,1.0,0.0,0
10.0,single,0,pathwise,100,1,0.1659,0.0,8.0,30.77,206,660.09,0.3348,660.5,0.3338,1.0,0.0,0
10.0,oracle,20,pathwise,100,13.5,0.1418,0.1409,0.0,20.95,52,660.23,0.4795,658.3,0.5146,1.0,14.6,0
10.0,oracle,50,pathwise,100,5.8,0.3933,0.3735,3.0,39.99,84,727.82,0.4545,727.53,0.4608,1.0,10.3,0
10.0,chained,20,pathwise,100,13.5,0.016,0.0,0.0,7.67,34,471.02,0.4721,458.45,0.5146,1.0,0.0,0
10.0,chained,50,pathwise,100,5.8,0.0919,0.0,2.0,14.54,86,609.61,0.4545,604.48,0.4608,1.0,0.0,0
20.0,single,0,pathwise,100,1,0.4462,0.3382,26.0,73.07,214,751.94,0.1775,753.76,0.1795,1.0,0.0,0
20.0,oracle,20,pathwise,100,13.5,0.7714,0.7873,46.0,86.99,178,807.05,0.2915,803.07,0.2923,1.0,63.8,0
20.0,oracle,50,pathwise,100,5.8,0.7304,0.7571,42.0,90.77,205,841.37,0.2442,840.17,0.2459,1.0,41.4,0
20.0,chained,20,pathwise,100,13.5,0.2972,0.2281,11.0,44.63,134,628.31,0.2915,620.77,0.2923,1.0,0.0,0
20.0,chained,50,pathwise,100,5.8,0.4374,0.3899,23.0,58.61,192,737.55,0.2442,738.28,0.2459,1.0,0.0,0
50.0,single,0,pathwise,100,1,0.4921,0.4141,29.0,81.34,214,766.9,0.071,767.47,0.0718,1.0,0.0,0
50.0,oracle,20,pathwise,100,13.5,0.8826,0.9118,84.0,117.48,219,839.41,0.1186,837.77,0.1194,1.0,73.2,0
50.0,oracle,50,pathwise,100,5.8,0.8074,0.8506,64.0,107.35,219,867.79,0.1059,867.63,0.1064,1.0,47.4,0
50.0,chained,20,pathwise,100,13.5,0.4701,0.4092,29.0,67.99,184,699.38,0.1186,695.25,0.1194,1.0,0.0,0
50.0,chained,50,pathwise,100,5.8,0.5307,0.5834,34.0,69.07,194,770.72,0.1059,772.11,0.1064,1.0,0.0,0
