k,mode,L,B_user,field,n,recall_mean,recall_ge_0p8_pct,cut_pct,queries_served_mean,spend_total_mean,S_total_median
-1.0,chained,20,50,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,100,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,200,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,400,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,800,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,1600,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,3200,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,20,inf,Z,100,0.4716,29.0,0,13.53,0.0,849.0
-1.0,chained,50,50,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,100,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,200,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,400,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,800,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,1600,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,3200,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,chained,50,inf,Z,100,0.5314,34.0,0,5.84,0.0,849.0
-1.0,oracle,20,50,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,100,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,200,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,400,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,800,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,1600,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,3200,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,20,inf,Z,100,0.8826,84.0,0,13.53,0.0,849.0
-1.0,oracle,50,50,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,100,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,200,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,400,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,800,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,1600,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,3200,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,oracle,50,inf,Z,100,0.8074,64.0,0,5.84,0.0,849.0
-1.0,single,0,50,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,100,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,200,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,400,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,800,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,1600,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,3200,Z,100,0.4921,29.0,0,1,0.0,849.0
-1.0,single,0,inf,Z,100,0.4921,29.0,0,1,0.0,849.0
0.0,chained,20,50,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,100,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,200,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,400,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,800,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,1600,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,3200,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,20,inf,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,chained,50,50,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,100,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,200,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,400,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,800,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,1600,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,3200,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,chained,50,inf,Z,100,0.0,0.0,0,5.84,0.0,849.0
0.0,oracle,20,50,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,100,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,200,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,400,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,800,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,1600,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,3200,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,20,inf,Z,100,0.0,0.0,0,13.53,0.0,849.0
0.0,oracle,50,50,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,100,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,200,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,400,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,800,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,1600,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,3200,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,oracle,50,inf,Z,100,0.0032,0.0,0,5.84,0.0,849.0
0.0,single,0,50,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,100,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,200,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,400,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,800,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,1600,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,3200,Z,100,0.0,0.0,0,1,0.0,849.0
0.0,single,0,inf,Z,100,0.0,0.0,0,1,0.0,849.0
3.0,chained,20,50,Z,100,0.0,0.0,95.0,1.64,319.3,849.0
3.0,chained,20,100,Z,100,0.0014,0.0,89.0,3.63,319.3,849.0
3.0,chained,20,200,Z,100,0.0014,0.0,79.0,7.32,319.3,849.0
3.0,chained,20,400,Z,100,0.0014,0.0,35.0,12.94,319.3,849.0
