prompt_id,rank,reward
gsm0,0,1.066218
gsm1,0,-0.149159
gsm2,0,-2.478905
gsm3,0,0.692809
gsm4,0,-24.749998
gsm5,0,-4.874929
gsm6,0,0.544090
gsm7,0,0.498338
gsm8,0,-2.096359
gsm9,0,2.357647
gsm10,0,6.743906
gsm11,0,-0.625349
gsm12,0,-0.686013
gsm13,0,-2.280190
gsm14,0,0.708739
gsm15,0,-11.045805
gsm16,0,-6.249887
gsm17,0,-0.912562
gsm18,0,1.500409
gsm19,0,2.750612
gsm20,0,0.792239
gsm21,0,2.069356
gsm22,0,-0.228136
gsm23,0,0.257900
gsm24,0,-2.581975
gsm25,0,-11.491987
gsm26,0,4.598481
gsm27,0,-19.999998
gsm28,0,2.376771
gsm29,0,-2.807156
gsm30,0,-5.998689
gsm31,0,-0.748962
gsm32,0,1.660111
gsm33,0,-5.624516
gsm34,0,3.191371
gsm35,0,-0.969156
gsm36,0,0.468236
gsm37,0,0.690731
gsm38,0,1.815486
gsm39,0,0.274853
gsm40,0,5.293520
gsm41,0,-25.687498
gsm42,0,1.477905
gsm43,0,-1.170159
gsm44,0,-9.372787
gsm45,0,0.133817
gsm46,0,1.583182
gsm47,0,-4.993860
gsm48,0,-1.961095
gsm49,0,-0.986512
gsm50,0,-0.470400
gsm51,0,0.771934
gsm52,0,-1.600882
gsm53,0,1.037760
gsm54,0,-1.162018
gsm55,0,4.625611
gsm56,0,2.661732
gsm57,0,-8.548937
gsm58,0,-1.023207
gsm59,0,2.042776
gsm60,0,0.818995
gsm61,0,-26.437498
gsm62,0,0.244640
gsm63,0,0.510672
gsm64,0,0.223869
gsm65,0,-0.091573
gsm66,0,0.453587
gsm67,0,-1.537041
gsm68,0,1.935785
gsm69,0,-0.753073
gsm70,0,-2.104352
gsm71,0,-0.587322
gsm72,0,-0.219932
gsm73,0,3.557110
gsm74,0,-21.812498
gsm75,0,-1.167439
gsm76,0,1.083728
gsm77,0,-0.549334
gsm78,0,-1.202002
gsm79,0,2.741713
gsm80,0,-1.039366
gsm81,0,-3.435327
gsm82,0,-0.987787
gsm83,0,-1.481420
gsm84,0,3.501210
gsm85,0,-15.499690
gsm86,0,0.747033
gsm87,0,-9.865637
gsm88,0,-0.687564
gsm89,0,-12.033226
gsm90,0,-25.562498
gsm91,0,-2.710244
gsm92,0,5.157676
gsm93,0,1.278392
gsm94,0,1.168302
gsm95,0,3.345749
gsm96,0,-2.541302
gsm97,0,-17.180380
gsm98,0,-24.124998
gsm99,0,-11.874966
gsm100,0,4.442228
gsm101,0,-2.329064
gsm102,0,0.751223
gsm103,0,-0.167305
gsm104,0,1.215940
gsm105,0,-1.726654
gsm106,0,2.317071
gsm107,0,-1.264935
gsm108,0,-0.174788
gsm109,0,-4.375526
gsm110,0,2.131930
gsm111,0,3.378160
gsm112,0,0.730363
gsm113,0,-0.562865
gsm114,0,-22.598566
gsm115,0,-25.374998
gsm116,0,-2.055976
gsm117,0,-6.749797
gsm118,0,-1.623384
gsm119,0,1.942924
gsm120,0,0.376987
gsm121,0,2.323342
gsm122,0,2.255833
