pair,prompt_id,s_safe,s_risky,requirement,ratio
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.00,2.5476261411900243,0.1571000908693088,2.3905260503207155,0.9383347154712718
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.01,1.9724917858149167,0.2312473006494626,1.741244485165454,0.8827638714074924
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.02,2.7731428404222243,0.14193633539905698,2.6312065050231674,0.9488175173200071
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.03,2.046009928168652,0.004335070450032167,2.0416748577186197,0.997881207519891
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.04,2.9957731997971773,0.12379856775502265,2.8719746320421544,0.9586755874031438
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.05,2.0154528127053797,0.0019116499813060016,2.013541162724074,0.9990515034788932
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.06,2.4767617149867127,0.16864728120428366,2.308114433782429,0.9319081524137705
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.07,2.0241340805447496,0.001956061920969391,2.02217801862378,0.999033630262061
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.08,2.5462491526612605,0.22653499682641695,2.3197141558348435,0.9110318813107313
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.09,2.1117153807812987,0.28955706052297,1.8221583202583287,0.8628806404697215
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.10,2.8864507679212488,0.3118826116599718,2.574568156261277,0.8919494435428802
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1023.11,2.6658356664151968,0.03353187261246314,2.6323037938027336,0.9874216280339763
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.00,2.7845241602287083,0.3257895146232778,2.4587346456054306,0.8829999325283215
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.01,2.9913685631862608,0.15627566702703355,2.835092896159227,0.9477578025823149
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.02,2.1988807910806996,0.0019028424649182348,2.1969779486157814,0.9991346313667222
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.03,2.158913247789045,0.0016416261304883577,2.1572716216585563,0.9992396053282041
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.04,2.201096638306938,0.0027726581088315222,2.1983239801981065,0.9987403287704059
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.05,2.1083846923048157,0.17899523676046677,1.929389455544349,0.9151031415596197
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.06,2.3858846705944003,0.18073705850818608,2.2051476120862143,0.9242473616869509
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.07,2.316064837138401,0.018564166779123602,2.2975006703592777,0.9919846083402136
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.08,2.1852920153140896,0.2413270255512744,1.943964989762815,0.8895676075050369
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.09,1.8213590922112215,0.0030435919309988726,1.8183155002802227,0.9983289446084441
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.10,2.565956282388652,0.2966757003081885,2.2692805820804636,0.8843800643275135
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg105.11,2.735393665132246,0.0018554468111724582,2.7335382183210735,0.9993216892929074
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.00,2.7417817826673856,0.0051075588797012015,2.736674223787684,0.9981371388080592
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.01,2.3950020306621242,0.0016409073029068526,2.3933611233592176,0.9993148618323079
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.02,2.5508126398138704,0.0022947141985993655,2.548517925615271,0.9991003987659529
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.03,2.3221622068817034,0.22870666123583744,2.093455545645866,0.9015113326028356
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.04,2.4955065472767557,0.26922687510408966,2.226279672172666,0.892115340110854
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.05,2.0712508329778414,0.1929598459397737,1.8782909870380677,0.9068389772655614
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.06,3.0676464763457276,0.004168676556434131,3.0634777997892937,0.9986410831272188
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.07,2.396162773391956,0.07068521172766068,2.3254775616642953,0.9705006635974065
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.08,2.4159300397245254,0.15538605718868131,2.260543982535844,0.9356827165382657
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.09,1.9743183070483308,0.0021928873548797394,1.972125419693451,0.998889293916259
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.10,2.4968831457152736,0.23570930024582137,2.261173845469452,0.9055985857206391
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg11.11,2.4710211989464193,0.16595419686396348,2.3050670020824557,0.9328398328048654
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.00,1.9052827478462562,0.1784012364703204,1.7268815113759357,0.906364954665135
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.01,2.4483255564770214,0.10934029128554812,2.3389852651914733,0.9553407875042232
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.02,2.8420854467313643,0.008980095339506425,2.833105351391858,0.9968403147942528
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.03,2.0496241081667406,0.003105578608878158,2.0465185295578623,0.9984848057765793
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.04,2.2185198626856306,0.12884711152040146,2.0896727511652293,0.9419220383429764
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.05,2.1204404459058424,0.27782075245317833,1.842619693452664,0.8689796957091646
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.06,2.224086611968481,0.34881987203270265,1.8752667399357783,0.843162640269674
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.07,2.1889649193821357,0.0020676677491381374,2.1868972516329976,0.9990554130261157
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.08,2.276254694590038,0.40828940987633555,1.8679652847137027,0.8206310520317807
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.09,2.147614918654577,0.27739284786890284,1.8702220707856743,0.8708367848167669
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.10,2.570631730424417,0.002257546969069569,2.5683741834553473,0.9991217929264816
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg113.11,2.276782709287648,0.35333609475951494,1.923446614528133,0.8448090398270525
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.00,2.1537357851706114,0.22777795071270696,1.9259578344579045,0.8942405320647708
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.01,2.6412504829995505,0.17579654564828548,2.465453937351265,0.9334419257924219
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.02,2.025405036422386,0.0027040086104608567,2.0227010278119253,0.99866495413913
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.03,2.389817646701878,0.27330776525593314,2.116509881445945,0.8856365607505168
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.04,2.3087236151520716,0.017717889597416065,2.2910057255546556,0.9923256774950738
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.05,2.512006083961888,0.002318571216003374,2.509687512745885,0.9990770041399157
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.06,2.110120110446587,0.0018352691734496577,2.1082848412731376,0.9991302536929705
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.07,2.2863031525860342,0.2295681711491301,2.0567349814369043,0.8995897937290311
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.08,2.431329499427667,0.062200525764159915,2.369128973663507,0.9744170727255184
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.09,2.0511738271173328,0.0019896337865154966,2.0491841933308175,0.9990300023526959
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.10,2.373699839110486,0.24961374411366796,2.124086094996818,0.8948419088206168
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg1184.11,3.0666411657865833,0.30784668806252885,2.7587944777240545,0.8996143756572943
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.00,2.1674429496127012,0.012962681923138259,2.154480267689563,0.9940193664956881
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.01,2.453318180585153,0.2612373357589849,2.192080844826168,0.8935167326332388
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.02,2.4638009891229666,0.0020028744008809057,2.4617981147220855,0.999187079472034
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.03,3.1000776514869,0.22478475782182278,2.8752928936650775,0.927490604077608
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.04,2.245530325218908,0.1722436992450555,2.0732866259738523,0.9232948683388348
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.05,2.308064792773732,0.2486439668019277,2.059420825971804,0.8922716695040791
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.06,2.5822856477742016,0.0473427006472389,2.5349429471269627,0.9816663579848163
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.07,2.4869225556423897,0.20102135373055216,2.2859012019118374,0.9191686314177858
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.08,2.93310727317445,0.17772164992279146,2.7553856232516583,0.9394084043402727
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.09,2.75703876594578,0.10558836534514289,2.6514504006006367,0.961702255822681
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.10,2.3593546486301347,0.06562363722840144,2.293731011401733,0.9721857681436307
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg120.11,2.4596582464741283,0.26788737553432107,2.1917708709398074,0.8910875622992209
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.00,2.4285410575414224,0.0022706496233141703,2.4262704079181083,0.9990650149330343
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.01,2.284598031601079,0.16071708951523023,2.1238809420858487,0.9296519180651673
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.02,2.358829271545931,0.26441017208101897,2.094419099464912,0.8879061849577059
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.03,2.679091876403254,0.17284421839295827,2.5062476580102957,0.9354840272872591
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.04,2.028823877019398,0.15815318802566652,1.8706706889937315,0.9220468618212372
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.05,2.7986546361384432,0.0027361982541601443,2.795918437884283,0.9990223165735321
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.06,2.3456168843674003,0.0035508392286427953,2.3420660451387576,0.99848618107573
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.07,2.146374915901635,0.23111346855483486,1.9152614473468004,0.8923238121902155
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.08,2.4530470737447447,0.27583081935985104,2.1772162543848936,0.8875558393020252
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.09,2.9159050107825077,0.007386255244036919,2.908518755538471,0.9974669081411349
KL3M-520M + mem. KL3M-520M (Gutenberg),gutenberg.pg121.10,1.863540316232847,0.0688519744193288,1.7946883418135182,0.9630531339625036
