arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,-0.955
majority vote (self-consistency),2,0.6931,500,0.1669,0.14,0.1962,0.0,0.0,0.0,-0.955
majority vote (self-consistency),4,1.3863,500,0.1524,0.1255,0.1797,-0.0146,-0.0337,0.0039,-0.955
majority vote (self-consistency),8,2.0794,500,0.14,0.1148,0.1681,-0.0269,-0.0495,-0.0043,-0.955
majority vote (self-consistency),16,2.7726,500,0.1452,0.1187,0.1732,-0.0218,-0.0473,0.0026,-0.955
majority vote (self-consistency),32,3.4657,500,0.1369,0.1117,0.1637,-0.0301,-0.0554,-0.0044,-0.955
majority vote (self-consistency),64,4.1589,500,0.1318,0.1063,0.159,-0.0351,-0.0603,-0.01,-0.955
pointwise reward (Qwen2.5-7B),1,0.0,500,0.1669,0.1397,0.1955,0.0,0.0,0.0,-0.5714
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.1392,0.1139,0.1667,-0.0278,-0.0487,-0.0073,-0.5714
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.0904,0.0691,0.1125,-0.0766,-0.1013,-0.0533,-0.5714
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.0918,0.071,0.1134,-0.0751,-0.1034,-0.0479,-0.5714
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.088,0.0678,0.1092,-0.079,-0.1091,-0.0493,-0.5714
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.0899,0.0701,0.1104,-0.0771,-0.1085,-0.0466,-0.5714
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.1075,0.0862,0.1298,-0.0594,-0.0921,-0.0274,-0.5714
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
