prompt_id,u_n1,u_n8,diff
1nzes2,0.5,0.5,0.0
2786lw,1.0,1.0,0.0
2ov45h,0.5,0.5,0.0
49u4dh,0.5,0.5,0.0
4iorz7,0.5,1.0,0.5
4xzr87,0.5,1.0,0.5
53rqr9,0.0,0.5,0.5
5apkek,0.5,1.0,0.5
5e6rcz,1.0,1.0,0.0
5ec7q2,1.0,0.0,-1.0
5f5p86,1.0,0.0,-1.0
5fqwjc,0.0,0.0,0.0
5g58dz,1.0,1.0,0.0
5gq4jc,0.5,0.5,0.0
5j7ypk,1.0,0.5,-0.5
5je6l4,0.5,0.5,0.0
5nc21f,0.5,0.5,0.0
5nzsq6,0.5,0.5,0.0
5ozqb9,0.5,0.5,0.0
5qf97d,0.5,1.0,0.5
5qwzjo,1.0,0.0,-1.0
5r104c,1.0,1.0,0.0
5te65i,0.0,0.5,0.5
5umucz,0.5,1.0,0.5
5w4x14,0.0,0.0,0.0
609k0n,0.5,1.0,0.5
625es0,0.0,1.0,1.0
63dn97,0.5,0.0,-0.5
63ku7q,0.5,0.5,0.0
64c0w6,0.5,0.0,-0.5
65458n,0.0,0.5,0.5
66uo64,1.0,0.5,-0.5
68f5c5,0.5,0.5,0.0
68ykga,0.5,1.0,0.5
69dzba,0.0,0.0,0.0
6d1iqq,0.5,0.5,0.0
6eytds,0.5,0.5,0.0
6gl289,0.5,0.5,0.0
6hoxmq,1.0,1.0,0.0
6imc4i,0.5,0.0,-0.5
6isay3,0.5,0.5,0.0
6ixx9u,0.5,0.5,0.0
6k8gdu,0.5,0.5,0.0
6l6v6l,1.0,1.0,0.0
6m7z8a,0.5,1.0,0.5
6mztko,0.5,0.5,0.0
6o18uh,0.5,0.5,0.0
6o679d,0.5,0.5,0.0
6ohgxv,1.0,0.5,-0.5
6szrbs,0.5,0.5,0.0
6tsiyd,1.0,0.5,-0.5
6wgtsx,0.5,1.0,0.5
6wxzhc,0.5,0.5,0.0
6xisxt,1.0,1.0,0.0
6xngfe,0.5,0.5,0.0
6xsruw,0.0,1.0,1.0
71p51h,1.0,0.0,-1.0
72l2aj,0.5,0.5,0.0
74ih3z,0.5,1.0,0.5
765fhd,0.5,0.5,0.0
76b9gc,0.0,0.0,0.0
77dd17,0.0,0.5,0.5
