run,novel,setting,constraint,prefix_debt,k,mode,L,n_passages,nv_recall_mean,nv_recall_ge_0p8_pct,lcs_word_mean,spend_total_mean,max_query_Z_over_K,R_total_mean,invariant_violations,steps_forced_pct,steps_free_pct,steps_active_pct,R_over_K_max,queries
1984_A,1984,A_temp1,kl,1,-1.0,single,0,8,0.4137,37.5,51.62,0.0,0.0,351.82,0,0.0,100.0,0.0,,8
1984_A,1984,A_temp1,kl,1,-1.0,oracle,50,8,0.6458,37.5,70.5,0.0,0.0,527.02,0,0.0,100.0,0.0,,32
1984_A,1984,A_temp1,kl,1,-1.0,chained,50,8,0.3524,37.5,29.75,0.0,0.0,347.07,0,0.0,100.0,0.0,,32
1984_A,1984,A_temp1,kl,1,0.0,single,0,8,0.0,0.0,1.75,0.0,0.0,0.0,0,100.0,0.0,0.0,,8
1984_A,1984,A_temp1,kl,1,0.0,oracle,50,8,0.0,0.0,2.62,0.0,0.0,0.0,0,100.0,0.0,0.0,,32
1984_A,1984,A_temp1,kl,1,0.0,chained,50,8,0.0,0.0,1.88,0.0,0.0,0.0,0,100.0,0.0,0.0,,32
1984_A,1984,A_temp1,kl,1,1.0,single,0,8,0.0,0.0,1.88,117.89,0.9583,119.34,0,4.77,86.34,8.89,0.9881,8
1984_A,1984,A_temp1,kl,1,1.0,oracle,50,8,0.0,0.0,4.12,131.86,0.8276,129.33,0,18.95,60.22,20.83,1.1544,32
1984_A,1984,A_temp1,kl,1,1.0,chained,50,8,0.0,0.0,1.62,97.67,0.9405,101.68,0,15.39,74.82,9.79,1.3442,32
1984_A,1984,A_temp1,kl,1,1.5,single,0,8,0.0,0.0,2.12,148.79,0.8911,155.69,0,3.06,89.84,7.1,0.8893,8
1984_A,1984,A_temp1,kl,1,1.5,oracle,50,8,0.0,0.0,4.88,218.67,0.8848,220.53,0,11.6,68.96,19.44,1.3221,32
1984_A,1984,A_temp1,kl,1,1.5,chained,50,8,0.0,0.0,2.0,128.07,0.883,130.79,0,10.37,86.74,2.9,0.8296,32
1984_A,1984,A_temp1,kl,1,3.0,single,0,8,0.1147,12.5,13.62,294.44,0.9216,287.32,0,1.17,98.32,0.51,0.9098,8
1984_A,1984,A_temp1,kl,1,3.0,oracle,50,8,0.107,0.0,11.62,353.37,0.9196,355.24,0,5.23,91.78,3.0,0.9382,32
1984_A,1984,A_temp1,kl,1,3.0,chained,50,8,0.0,0.0,3.38,223.25,0.8014,214.35,0,4.91,93.45,1.64,0.8373,32
1984_A,1984,A_temp1,kl,1,5.0,single,0,8,0.1147,12.5,14.5,278.07,0.5536,277.92,0,0.57,98.85,0.57,0.5463,8
1984_A,1984,A_temp1,kl,1,5.0,oracle,50,8,0.1828,0.0,20.38,438.33,0.6441,445.92,0,2.81,96.25,0.94,0.6511,32
1984_A,1984,A_temp1,kl,1,5.0,chained,50,8,0.0,0.0,3.0,255.39,0.4997,246.27,0,2.32,96.91,0.77,0.479,32
1984_A,1984,A_temp1,kl,1,10.0,single,0,8,0.2383,25.0,27.38,324.32,0.2768,323.72,0,0.08,99.69,0.23,0.2731,8
1984_A,1984,A_temp1,kl,1,10.0,oracle,50,8,0.3565,12.5,39.25,469.81,0.3273,478.43,0,0.94,98.38,0.69,0.3338,32
1984_A,1984,A_temp1,kl,1,10.0,chained,50,8,0.1373,12.5,18.38,288.3,0.2939,288.43,0,0.62,98.88,0.5,0.2876,32
