prompt_id,arm,novel,blocked_steps,nv_recall,lcs_word,rouge_l
bookmia.00.11,tokenswap,1984,5,0.0,2,0.1133
bookmia.00.26,tokenswap,1984,2,0.0,14,0.2306
bookmia.00.31,tokenswap,1984,8,0.0,2,0.0465
bookmia.00.40,tokenswap,1984,4,0.0,2,0.1333
bookmia.00.46,tokenswap,1984,0,0.7383,158,0.8564
bookmia.00.48,tokenswap,1984,0,0.7042,76,0.7927
bookmia.00.64,tokenswap,1984,1,0.0,2,0.1347
bookmia.00.71,tokenswap,1984,2,0.2535,54,0.3874
bookmia.01.00,tokenswap,a_game_of_thrones,4,0.0,9,0.1994
bookmia.01.01,tokenswap,a_game_of_thrones,0,0.6972,123,0.8162
bookmia.01.02,tokenswap,a_game_of_thrones,5,0.1364,27,0.2463
bookmia.01.03,tokenswap,a_game_of_thrones,6,0.0,7,0.1288
bookmia.01.04,tokenswap,a_game_of_thrones,6,0.0,3,0.1385
bookmia.01.07,tokenswap,a_game_of_thrones,3,0.2723,58,0.3967
bookmia.01.10,tokenswap,a_game_of_thrones,7,0.3153,39,0.4828
bookmia.01.11,tokenswap,a_game_of_thrones,6,0.0,9,0.1773
bookmia.01.12,tokenswap,a_game_of_thrones,8,0.0,2,0.1133
bookmia.01.14,tokenswap,a_game_of_thrones,5,0.2764,55,0.3804
bookmia.01.20,tokenswap,a_game_of_thrones,0,0.0,2,0.1236
bookmia.01.22,tokenswap,a_game_of_thrones,5,0.0,5,0.162
bookmia.01.23,tokenswap,a_game_of_thrones,7,0.0,2,0.1313
bookmia.01.26,tokenswap,a_game_of_thrones,9,0.0,4,0.1287
bookmia.01.27,tokenswap,a_game_of_thrones,6,0.2634,40,0.4411
bookmia.01.31,tokenswap,a_game_of_thrones,6,0.0,17,0.2096
bookmia.01.32,tokenswap,a_game_of_thrones,2,0.0,15,0.2719
bookmia.01.33,tokenswap,a_game_of_thrones,6,0.0,16,0.1879
bookmia.01.36,tokenswap,a_game_of_thrones,12,0.4138,57,0.5326
bookmia.01.37,tokenswap,a_game_of_thrones,0,0.7872,125,0.8631
