arm,prompt_id,cls,empty,score,parsed
ab_k2,1nzes2,creative,0,1,1
ab_k2,2786lw,creative,0,3,1
ab_k2,2ov45h,creative,0,2,1
ab_k2,49u4dh,creative,0,1,1
ab_k2,4iorz7,creative,0,1,1
ab_k2,4xzr87,creative,0,1,1
ab_k2,53rqr9,creative,0,2,1
ab_k2,5apkek,creative,0,,0
ab_k2,5e6rcz,creative,0,3,1
ab_k2,5ec7q2,creative,0,1,1
ab_k2,5f5p86,creative,0,1,1
ab_k2,5fqwjc,creative,0,1,1
ab_k2,5g58dz,creative,0,1,1
ab_k2,5gq4jc,creative,1,,0
ab_k2,5j7ypk,creative,0,1,1
ab_k2,5je6l4,creative,0,1,1
ab_k2,5nc21f,creative,0,1,1
ab_k2,5nzsq6,creative,0,1,1
ab_k2,5ozqb9,creative,0,1,1
ab_k2,5qf97d,creative,0,1,1
ab_k2,5qwzjo,creative,0,1,1
ab_k2,5r104c,creative,0,1,1
ab_k2,5te65i,creative,0,2,1
ab_k2,5umucz,creative,0,1,1
ab_k2,5w4x14,creative,0,1,1
ab_k2,609k0n,creative,0,1,1
ab_k2,625es0,creative,0,4,1
ab_k2,63dn97,creative,0,1,1
ab_k2,63ku7q,creative,0,4,1
ab_k2,64c0w6,creative,0,1,1
ab_k2,65458n,creative,0,1,1
ab_k2,66uo64,creative,0,2,1
ab_k2,68f5c5,creative,0,1,1
ab_k2,68ykga,creative,0,1,1
ab_k2,69dzba,creative,0,1,1
ab_k2,6d1iqq,creative,0,3,1
ab_k2,6eytds,creative,0,1,1
ab_k2,6gl289,creative,0,1,1
ab_k2,6hoxmq,creative,0,1,1
ab_k2,6imc4i,creative,0,,0
ab_k2,6isay3,creative,0,4,1
ab_k2,6ixx9u,creative,0,3,1
ab_k2,6k8gdu,creative,0,2,1
ab_k2,6l6v6l,creative,0,1,1
ab_k2,6m7z8a,creative,0,1,1
ab_k2,6mztko,creative,0,1,1
ab_k2,6o18uh,creative,0,1,1
ab_k2,6o679d,creative,0,1,1
ab_k2,6ohgxv,creative,0,4,1
ab_k2,6szrbs,creative,0,4,1
ab_k2,6tsiyd,creative,0,1,1
ab_k2,6wgtsx,creative,0,1,1
ab_k2,6wxzhc,creative,0,1,1
ab_k2,6xisxt,creative,0,2,1
ab_k2,6xngfe,creative,0,1,1
ab_k2,6xsruw,creative,0,1,1
ab_k2,71p51h,creative,0,1,1
ab_k2,72l2aj,creative,0,2,1
ab_k2,74ih3z,creative,0,1,1
ab_k2,765fhd,creative,0,2,1
ab_k2,76b9gc,creative,0,1,1
ab_k2,77dd17,creative,0,3,1
ab_k2,796161,creative,0,1,1
ab_k2,7adktz,creative,0,1,1
ab_k2,7bowjq,creative,0,1,1
ab_k2,7d0x9k,creative,0,1,1
ab_k2,7dcwik,creative,0,1,1
ab_k2,7e3im5,creative,0,1,1
ab_k2,7en7vl,creative,0,2,1
ab_k2,7ezd5t,creative,0,1,1
ab_k2,7gjj2w,creative,0,1,1
ab_k2,7h9f8e,creative,0,4,1
ab_k2,7iltd1,creative,0,2,1
ab_k2,7iubwq,creative,0,1,1
ab_k2,7jfvx7,creative,0,3,1
ab_k2,7jqj29,creative,0,4,1
ab_k2,7l7e1m,creative,0,1,1
ab_k2,7ld0jk,creative,0,1,1
ab_k2,7lzk5g,creative,0,1,1
ab_k2,7q0acw,creative,0,1,1
ab_k2,7rb6uj,creative,0,1,1
ab_k2,7rie85,creative,0,2,1
ab_k2,7rpy8m,creative,0,3,1
ab_k2,7svmp5,creative,0,1,1
ab_k2,7tge90,creative,0,1,1
ab_k2,7u04a5,creative,0,1,1
ab_k2,7uezw8,creative,0,1,1
ab_k2,7v8ind,creative,0,1,1
ab_k2,80sf6g,creative,0,1,1
ab_k2,83mehz,creative,0,2,1
ab_k2,849wc3,creative,0,1,1
ab_k2,87ak6w,creative,0,1,1
ab_k2,87tx3g,creative,0,1,1
ab_k2,8a18sf,creative,1,1,1
ab_k2,8aec6t,creative,0,1,1
ab_k2,8fk0hr,creative,0,1,1
ab_k2,8gfhh9,creative,0,1,1
ab_k2,8gs4wp,creative,0,1,1
ab_k2,8k4am7,creative,0,2,1
ab_k2,8myeno,creative,0,1,1
ab_k2,8o89ko,creative,0,1,1
ab_k2,8p3ora,creative,0,1,1
ab_k2,8pr271,creative,0,1,1
ab_k2,8tmkfc,creative,0,1,1
ab_k2,8vr4k2,creative,0,1,1
ab_k2,8vyqdq,creative,0,3,1
ab_k2,8x0xa7,creative,0,2,1
ab_k2,8x86s0,creative,0,1,1
ab_k2,8y8wrr,creative,0,1,1
ab_k2,8z1sq1,creative,0,1,1
ab_k2,9470fc,creative,0,1,1
ab_k2,96myl6,creative,0,4,1
ab_k2,96xnw9,creative,0,3,1
ab_k2,99kk88,creative,0,1,1
ab_k2,9edjv0,creative,0,1,1
ab_k2,9f7www,creative,0,1,1
ab_k2,9g2cbq,creative,0,2,1
ab_k2,9ki47u,creative,0,2,1
ab_k2,9l0dam,creative,0,3,1
ab_k2,9neuk8,creative,0,1,1
ab_k2,9qn4tw,creative,0,1,1
ab_k2,a318ye,creative,0,3,1
ab_k2,a3pdwk,creative,0,1,1
ab_k2,acjzv0,creative,0,1,1
ab_k2,afc9c4,creative,0,1,1
ab_k2,aowr4t,creative,0,1,1
ab_k2,ar7nm2,creative,0,1,1
ab_k2,auig0m,creative,0,4,1
ab_k2,b4yx63,creative,0,1,1
ab_k2,b87jl7,creative,0,1,1
ab_k2,b9uzz1,creative,0,1,1
ab_k2,bhyplf,creative,0,1,1
ab_k2,bk7lic,creative,0,2,1
ab_k2,ciifmd,creative,0,1,1
ab_k2,ck6twx,creative,0,2,1
ab_k2,cpxk2b,creative,0,3,1
ab_k2,dqn4sj,creative,0,1,1
ab_k2,eu7ub2,creative,0,1,1
ab_k2,fact_00003_Fernando da Costa Novaes,factual,0,1,1
ab_k2,fact_00006_David Galloway (writer),factual,0,3,1
ab_k2,fact_00007_Cheyenne Brando,factual,0,1,1
ab_k2,fact_00012_Braulio Lara,factual,0,2,1
ab_k2,fact_00015_Amr Shabana,factual,0,3,1
ab_k2,fact_00017_Abdulqawi Yusuf,factual,0,4,1
ab_k2,fact_00025_Carlos P. Romulo,factual,0,1,1
ab_k2,fact_00027_Arthur Ewert,factual,0,4,1
ab_k2,fact_00032_Flavio Méndez Santiago,factual,0,3,1
ab_k2,fact_00039_Chris Duffield,factual,0,4,1
ab_k2,fact_00040_Daniil Medvedev,factual,0,1,1
ab_k2,fact_00043_Alexander Vovin,factual,0,5,1
ab_k2,fact_00044_Cobhams Asuquo,factual,0,2,1
ab_k2,fact_00045_David Bogue,factual,0,1,1
ab_k2,fact_00048_Don Beard,factual,0,1,1
ab_k2,fact_00053_Andriy Yarmolenko,factual,0,4,1
ab_k2,fact_00058_Danny Faure,factual,0,3,1
ab_k2,fact_00063_Ayman al-Zawahiri,factual,0,1,1
ab_k2,fact_00064_Diego Suarez (garden designer),factual,0,4,1
ab_k2,fact_00066_Daniel Alexander Cameron,factual,0,1,1
ab_k2,fact_00075_Antonio Leviste,factual,0,2,1
ab_k2,fact_00078_Chi Pu,factual,0,3,1
ab_k2,"fact_00080_Felipe (footballer, born 1977)",factual,0,3,1
ab_k2,fact_00084_Alfred Hitchcock,factual,0,2,1
ab_k2,fact_00085_Dascha Polanco,factual,0,3,1
ab_k2,fact_00086_Amelia Earhart,factual,0,1,1
ab_k2,fact_00087_Chris John (boxer),factual,0,2,1
ab_k2,fact_00088_Blair Tugman,factual,0,3,1
ab_k2,fact_00093_David Oyite-Ojok,factual,0,3,1
ab_k2,fact_00097_Chris Cuomo,factual,0,4,1
ab_k2,fact_00098_Adnan Sami,factual,0,3,1
ab_k2,fact_00108_Bhuma Nagi Reddy,factual,0,1,1
ab_k2,fact_00109_Charmion King,factual,0,1,1
ab_k2,fact_00110_Andreea Marin,factual,0,3,1
ab_k2,fact_00114_Ahn Jae-hyun,factual,0,1,1
ab_k2,fact_00116_Bobo Baldé,factual,0,1,1
ab_k2,fact_00118_Chacho Gaytán,factual,0,1,1
ab_k2,fact_00119_Bastian Schweinsteiger,factual,0,1,1
ab_k2,fact_00120_Erich Hartmann,factual,0,1,1
ab_k2,fact_00127_Ezechiel N'Douassel,factual,0,1,1
ab_k2,fact_00131_Aditya Kalyanpur,factual,0,3,1
ab_k2,fact_00132_Dennis Andersson,factual,0,1,1
ab_k2,fact_00133_Daniel Bedingfield,factual,0,5,1
ab_k2,fact_00134_Celâl Bayar,factual,0,3,1
ab_k2,fact_00138_Diana Ivanova,factual,0,3,1
ab_k2,fact_00140_André Le Nôtre,factual,0,1,1
ab_k2,fact_00142_Cierre Wood,factual,0,1,1
ab_k2,fact_00145_Carmelo Anthony,factual,0,2,1
ab_k2,fact_00146_Asafa Powell,factual,0,1,1
