prompt_id,u_n1,u_n1_fwd,u_n1_rev,n1_consistent,u_n8,u_n8_fwd,u_n8_rev,n8_consistent,diff
1nzes2,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
2786lw,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
2ov45h,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
49u4dh,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
4iorz7,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
4xzr87,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
53rqr9,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
5apkek,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
5e6rcz,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
5ec7q2,0.75,0.5,1.0,False,0.5,0.0,1.0,False,-0.25
5f5p86,0.75,0.5,1.0,False,0.5,0.0,1.0,False,-0.25
5fqwjc,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
5g58dz,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
5gq4jc,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
5j7ypk,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
5je6l4,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
5nc21f,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
5nzsq6,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
5ozqb9,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
5qf97d,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
5qwzjo,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
5r104c,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
5te65i,0.25,0.0,0.5,False,0.5,0.5,0.5,True,0.25
5umucz,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
5w4x14,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
609k0n,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
625es0,0.5,1.0,0.0,False,0.5,1.0,0.0,False,0.0
63dn97,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
63ku7q,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
64c0w6,0.5,0.5,0.5,True,0.5,0.0,1.0,False,0.0
65458n,0.25,0.0,0.5,False,0.5,0.5,0.5,True,0.25
66uo64,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
68f5c5,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
68ykga,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
69dzba,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
6d1iqq,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6eytds,0.75,0.5,1.0,False,0.5,0.5,0.5,True,-0.25
6gl289,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6hoxmq,1.0,1.0,1.0,True,0.5,0.0,1.0,False,-0.5
6imc4i,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
6isay3,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6ixx9u,0.75,0.5,1.0,False,0.5,0.5,0.5,True,-0.25
6k8gdu,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6l6v6l,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
6m7z8a,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
6mztko,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6o18uh,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6o679d,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
6ohgxv,0.5,0.0,1.0,False,0.25,0.0,0.5,False,-0.25
6szrbs,0.5,0.5,0.5,True,0.25,0.0,0.5,False,-0.25
6tsiyd,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
6wgtsx,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
6wxzhc,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6xisxt,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
6xngfe,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
6xsruw,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
71p51h,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
72l2aj,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
74ih3z,0.75,0.5,1.0,False,0.5,0.0,1.0,False,-0.25
765fhd,0.75,0.5,1.0,False,0.5,0.5,0.5,True,-0.25
76b9gc,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0
77dd17,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
796161,0.75,0.5,1.0,False,0.5,0.0,1.0,False,-0.25
7adktz,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
7bowjq,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
7d0x9k,0.5,0.0,1.0,False,0.25,0.0,0.5,False,-0.25
7dcwik,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
7e3im5,0.75,0.5,1.0,False,0.25,0.0,0.5,False,-0.5
7en7vl,0.75,0.5,1.0,False,0.5,0.5,0.5,True,-0.25
7ezd5t,0.75,1.0,0.5,False,0.75,1.0,0.5,False,0.0
7gjj2w,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
7h9f8e,0.0,0.0,0.0,True,0.25,0.0,0.5,False,0.25
7iltd1,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
7iubwq,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
7jfvx7,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
7jqj29,0.5,0.5,0.5,True,0.5,0.0,1.0,False,0.0
7l7e1m,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
7ld0jk,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
7lzk5g,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
7q0acw,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
7rb6uj,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
7rie85,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
7rpy8m,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
7svmp5,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
7tge90,0.0,0.0,0.0,True,0.25,0.0,0.5,False,0.25
7u04a5,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0
7uezw8,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
7v8ind,0.5,0.5,0.5,True,0.5,0.0,1.0,False,0.0
80sf6g,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
83mehz,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
849wc3,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
87ak6w,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
87tx3g,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
8a18sf,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
8aec6t,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
8fk0hr,0.75,0.5,1.0,False,1.0,1.0,1.0,True,0.25
8gfhh9,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
8gs4wp,0.25,0.0,0.5,False,0.5,0.5,0.5,True,0.25
8k4am7,1.0,1.0,1.0,True,0.5,0.5,0.5,True,-0.5
8myeno,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
8o89ko,0.25,0.5,0.0,False,0.5,0.5,0.5,True,0.25
8p3ora,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
8pr271,0.75,0.5,1.0,False,0.5,0.5,0.5,True,-0.25
8tmkfc,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
8vr4k2,0.5,0.0,1.0,False,0.0,0.0,0.0,True,-0.5
8vyqdq,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
8x0xa7,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
8x86s0,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
8y8wrr,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
8z1sq1,0.75,0.5,1.0,False,0.25,0.0,0.5,False,-0.5
9470fc,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
96myl6,0.0,0.0,0.0,True,0.5,0.0,1.0,False,0.5
96xnw9,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
99kk88,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
9edjv0,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
9f7www,0.5,0.5,0.5,True,0.75,1.0,0.5,False,0.25
9g2cbq,0.5,0.5,0.5,True,0.25,0.0,0.5,False,-0.25
9ki47u,0.75,0.5,1.0,False,1.0,1.0,1.0,True,0.25
9l0dam,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
9neuk8,0.25,0.0,0.5,False,0.75,0.5,1.0,False,0.5
9qn4tw,0.5,0.5,0.5,True,0.5,0.5,0.5,True,0.0
a318ye,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
a3pdwk,0.75,0.5,1.0,False,0.75,0.5,1.0,False,0.0
acjzv0,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
afc9c4,0.5,0.5,0.5,True,0.5,0.0,1.0,False,0.0
aowr4t,0.5,0.5,0.5,True,0.75,0.5,1.0,False,0.25
ar7nm2,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
auig0m,0.5,0.0,1.0,False,0.5,0.0,1.0,False,0.0
b4yx63,0.25,0.0,0.5,False,0.25,0.0,0.5,False,0.0
b87jl7,0.5,0.0,1.0,False,0.75,0.5,1.0,False,0.25
b9uzz1,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
bhyplf,0.25,0.0,0.5,False,0.5,0.0,1.0,False,0.25
bk7lic,0.5,0.0,1.0,False,0.25,0.0,0.5,False,-0.25
