arm,prompt_id,first,second,text_sha
inst,1nzes2,A,B,da39a3ee5e6b
inst,2786lw,B,A,33f3a14c11ec
inst,2ov45h,A,B,95dc3d66b5a1
inst,49u4dh,B,B,da39a3ee5e6b
inst,4iorz7,A,A,7753c5fd4493
inst,4xzr87,A,B,4e865f30932e
inst,53rqr9,B,B,89c501e869b2
inst,5apkek,B,A,da39a3ee5e6b
inst,5e6rcz,A,Tie,da39a3ee5e6b
inst,5ec7q2,A,A,bd65e74fbc7f
inst,5f5p86,A,B,da39a3ee5e6b
inst,5fqwjc,A,B,da39a3ee5e6b
inst,5g58dz,A,A,5bab61eb5317
inst,5gq4jc,A,B,da39a3ee5e6b
inst,5j7ypk,B,B,c1cf6ad06a14
inst,5je6l4,A,B,33e667d514a2
inst,5nc21f,A,B,cfaa4761dab3
inst,5nzsq6,B,A,da39a3ee5e6b
inst,5ozqb9,A,B,433eff63b7d0
inst,5qf97d,B,A,da39a3ee5e6b
inst,5qwzjo,A,B,da39a3ee5e6b
inst,5r104c,A,B,92acd6c953a9
inst,5te65i,A,A,b537aca562c1
inst,5umucz,A,B,b19f83f55acd
inst,5w4x14,B,A,331b3e4d485a
inst,609k0n,A,B,32cfc1e5c2a6
inst,625es0,B,B,b9d1937df6f7
inst,63dn97,B,A,6a2f82ea3e96
inst,63ku7q,B,B,0bf396540538
inst,64c0w6,A,A,da39a3ee5e6b
inst,65458n,A,B,31f71033d7d5
inst,66uo64,B,A,3970e2d792f7
inst,68f5c5,B,A,ed683ca77f97
inst,68ykga,A,B,c28e07f48466
inst,69dzba,A,A,da39a3ee5e6b
inst,6d1iqq,B,A,64bd1dc374a5
inst,6eytds,A,A,c1f47733229d
inst,6gl289,B,A,c2e74d0860e8
inst,6hoxmq,A,B,38ac88e024db
inst,6imc4i,A,B,8ed01d187b52
inst,6isay3,A,B,a6a65810f592
inst,6ixx9u,B,A,da39a3ee5e6b
inst,6k8gdu,A,B,071ec8d434fb
inst,6l6v6l,A,A,db43e6636f14
inst,6m7z8a,A,B,a25badd64c9e
inst,6mztko,B,B,305a926113c1
inst,6o18uh,B,B,0df1540d85c5
inst,6o679d,A,B,b4e3d3b19e52
inst,6ohgxv,A,A,da39a3ee5e6b
inst,6szrbs,A,B,da39a3ee5e6b
inst,6tsiyd,A,B,630449fe6aa9
inst,6wgtsx,A,A,da39a3ee5e6b
inst,6wxzhc,B,B,da39a3ee5e6b
inst,6xisxt,B,A,95662dc94088
inst,6xngfe,A,B,da39a3ee5e6b
inst,6xsruw,A,B,da39a3ee5e6b
inst,71p51h,A,B,da39a3ee5e6b
inst,72l2aj,B,A,a4a35bcaf105
inst,74ih3z,A,B,67fbfe7844c5
inst,765fhd,B,A,a2a3941854c4
inst,76b9gc,A,B,27c9fd07df19
inst,77dd17,A,B,da39a3ee5e6b
