job,path,gpus,start,end,wall_hours,gpu_hours,start_source,idle_removed_hours,note
CP-Fuse fine-tune B,output/phase3/cpfuse_m1,1,2026-09-07 15:01,2026-09-07 15:16,0.25,0.25,log_elapsed,0.0,feat-030; disjoint shard 1/2
CP-Fuse audit,output/phase3/cpfuse_audit,1,2026-09-07 15:23,2026-09-07 16:13,0.84,0.84,dir_birth,0.0,feat-030
70B seed-length checks,output/phase2/nm_smoke,2,2026-09-06 01:23,2026-09-06 01:53,0.5,1.01,dir_birth,0.0,feat-017; nm_check* share the window
70B audit,output/phase2/nm,2,2026-09-06 01:53,2026-09-06 05:33,3.67,7.34,chain,0.0,"feat-018, all sub-runs"
anchor_scaling,output/phase4/anchor_scaling.log,1,2026-09-07 22:17,2026-09-07 22:48,0.51,0.51,log_birth,0.0,scanned; traced sleeps removed
budget_path_comma7b,output/phase4/budget_path_comma7b.log,1,2026-09-08 00:11,2026-09-08 00:11,0.0,0.0,log_birth,0.0,scanned; traced sleeps removed
comp_comma7b,output/phase4/comp_comma7b.log,1,2026-09-07 22:48,2026-09-08 00:11,1.37,1.37,log_birth,0.0,scanned; traced sleeps removed
eq_kl,output/phase4/eq_kl.log,1,2026-09-07 23:06,2026-09-07 23:08,0.03,0.03,log_birth,0.0,scanned; traced sleeps removed
eq_renyi_1_0,output/phase4/eq_renyi_1_0.log,1,2026-09-07 23:08,2026-09-07 23:11,0.06,0.06,log_birth,0.0,scanned; traced sleeps removed
fine_comma,output/phase4/fine_comma.log,1,2026-09-08 00:13,2026-09-08 00:32,0.32,0.32,log_birth,0.0,scanned; traced sleeps removed
fine_tc,output/phase4/fine_tc.log,1,2026-09-08 00:13,2026-09-08 00:27,0.24,0.24,log_birth,0.0,scanned; traced sleeps removed
ft_comma7b,output/phase4/ft_comma7b.log,1,2026-09-07 22:19,2026-09-07 22:41,0.37,0.37,log_birth,0.0,scanned; traced sleeps removed
gen_l32base,output/phase4/gen_l32base.log,1,2026-09-07 23:56,2026-09-07 23:57,0.02,0.02,log_birth,0.0,scanned; traced sleeps removed
gen_qwen,output/phase4/gen_qwen.log,1,2026-09-07 23:55,2026-09-07 23:57,0.03,0.03,log_birth,0.0,scanned; traced sleeps removed
heldout_comma7b,output/phase4/heldout_comma7b.log,1,2026-09-07 22:49,2026-09-07 22:57,0.14,0.14,log_birth,0.0,scanned; traced sleeps removed
opening_effect,output/phase4/opening_effect.log,1,2026-09-07 22:57,2026-09-07 22:57,0.01,0.01,log_birth,0.0,scanned; traced sleeps removed
opening_effect_multi,output/phase4/opening_effect_multi.log,1,2026-09-07 22:58,2026-09-07 23:02,0.06,0.06,log_birth,0.0,scanned; traced sleeps removed
renyi_sweep_a,output/phase4/renyi_sweep_a.log,1,2026-09-07 23:12,2026-09-07 23:28,0.27,0.27,log_birth,0.0,scanned; traced sleeps removed
