arm,n,budget_nats,n_problems,acc,acc_lo95,acc_hi95,gain,gain_lo95,gain_hi95,spearman_acc_logn
majority vote (self-consistency),1,0.0,500,0.0294,0.0225,0.0369,0.0,0.0,0.0,-0.8365
majority vote (self-consistency),2,0.6931,500,0.0294,0.0225,0.0366,0.0,0.0,0.0,-0.8365
majority vote (self-consistency),4,1.3863,500,0.025,0.0186,0.032,-0.0044,-0.0079,-0.0014,-0.8365
majority vote (self-consistency),8,2.0794,500,0.0175,0.0125,0.0231,-0.0119,-0.0175,-0.0071,-0.8365
majority vote (self-consistency),16,2.7726,500,0.0168,0.012,0.0223,-0.0126,-0.0181,-0.0076,-0.8365
majority vote (self-consistency),32,3.4657,500,0.0165,0.0116,0.0219,-0.0129,-0.0185,-0.008,-0.8365
majority vote (self-consistency),64,4.1589,500,0.0175,0.0123,0.0232,-0.0119,-0.018,-0.0063,-0.8365
pointwise reward (Qwen2.5-7B),1,0.0,500,0.0294,0.0225,0.0369,0.0,0.0,0.0,0.1429
pointwise reward (Qwen2.5-7B),2,0.6931,500,0.0318,0.0248,0.0389,0.0023,-0.0048,0.0093,0.1429
pointwise reward (Qwen2.5-7B),4,1.3863,500,0.0447,0.0354,0.0549,0.0153,0.0052,0.0258,0.1429
pointwise reward (Qwen2.5-7B),8,2.0794,500,0.048,0.0384,0.0578,0.0186,0.008,0.0291,0.1429
pointwise reward (Qwen2.5-7B),16,2.7726,500,0.0442,0.0358,0.0532,0.0148,0.0047,0.0252,0.1429
pointwise reward (Qwen2.5-7B),32,3.4657,500,0.0385,0.0303,0.0473,0.0091,-0.001,0.0193,0.1429
pointwise reward (Qwen2.5-7B),64,4.1589,500,0.0311,0.0241,0.0386,0.0017,-0.0078,0.0113,0.1429
"risky model alone, k=-1 (greedy)",1,,500,0.4622,0.438,0.4861,,,,
"risky model alone, k=-1 (sampled)",1,,500,0.4609,0.4366,0.4852,,,,
